"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
25070,162,"NER","Niger",1,"Agadez",1,"Arlit","","","Arrondissement","Arrondissement"
25071,162,"NER","Niger",1,"Agadez",2,"Bilma","","","Arrondissement","Arrondissement"
25072,162,"NER","Niger",1,"Agadez",3,"Tchighozerine","","","Arrondissement","Arrondissement"
25073,162,"NER","Niger",2,"Diffa",4,"Diffa","","","Arrondissement","Arrondissement"
25074,162,"NER","Niger",2,"Diffa",5,"Maïné-Soroa","","","Arrondissement","Arrondissement"
25075,162,"NER","Niger",2,"Diffa",6,"N'Guigmi","","","Arrondissement","Arrondissement"
25076,162,"NER","Niger",3,"Dosso",7,"Boboye","","Birni N'Gaouré","Arrondissement","Arrondissement"
25077,162,"NER","Niger",3,"Dosso",8,"Dogon-Doutchi","","","Arrondissement","Arrondissement"
25078,162,"NER","Niger",3,"Dosso",9,"Dosso","","","Arrondissement","Arrondissement"
25079,162,"NER","Niger",3,"Dosso",10,"Gaya","","","Arrondissement","Arrondissement"
25080,162,"NER","Niger",3,"Dosso",11,"Loga","","","Arrondissement","Arrondissement"
25081,162,"NER","Niger",4,"Maradi",12,"Aguié","","","Arrondissement","Arrondissement"
25082,162,"NER","Niger",4,"Maradi",13,"Dakoro","","","Arrondissement","Arrondissement"
25083,162,"NER","Niger",4,"Maradi",14,"Groumdji","","Guidan-Roumdji","Arrondissement","Arrondissement"
25084,162,"NER","Niger",4,"Maradi",15,"Madarounfa","","","Arrondissement","Arrondissement"
25085,162,"NER","Niger",4,"Maradi",16,"Mayahi","","","Arrondissement","Arrondissement"
25086,162,"NER","Niger",4,"Maradi",17,"Tessaoua","","","Arrondissement","Arrondissement"
25087,162,"NER","Niger",5,"Niamey",18,"Niamey","","","Arrondissement","Arrondissement"
25088,162,"NER","Niger",6,"Tahoua",19,"Bkonni","","Birni N'Konni","Arrondissement","Arrondissement"
25089,162,"NER","Niger",6,"Tahoua",20,"Bouza","","","Arrondissement","Arrondissement"
25090,162,"NER","Niger",6,"Tahoua",21,"Illéla","","","Arrondissement","Arrondissement"
25091,162,"NER","Niger",6,"Tahoua",22,"Keita","","","Arrondissement","Arrondissement"
25092,162,"NER","Niger",6,"Tahoua",23,"Madaoua","","","Arrondissement","Arrondissement"
25093,162,"NER","Niger",6,"Tahoua",24,"Tahoua","","","Arrondissement","Arrondissement"
25094,162,"NER","Niger",6,"Tahoua",25,"Tchin-Tabarade","","Tchin-Tabaraden","Arrondissement","Arrondissement"
25095,162,"NER","Niger",7,"Tillabéry",26,"Filingué","","","Arrondissement","Arrondissement"
25096,162,"NER","Niger",7,"Tillabéry",27,"Kollo","","","Arrondissement","Arrondissement"
25097,162,"NER","Niger",7,"Tillabéry",28,"Ouallam","","","Arrondissement","Arrondissement"
25098,162,"NER","Niger",7,"Tillabéry",29,"Say","","","Arrondissement","Arrondissement"
25099,162,"NER","Niger",7,"Tillabéry",30,"Téra","","","Arrondissement","Arrondissement"
25100,162,"NER","Niger",7,"Tillabéry",31,"Tillabéry","","","Arrondissement","Arrondissement"
25101,162,"NER","Niger",8,"Zinder",32,"Gouré","","","Arrondissement","Arrondissement"
25102,162,"NER","Niger",8,"Zinder",33,"Magaria","","","Arrondissement","Arrondissement"
25103,162,"NER","Niger",8,"Zinder",34,"Matameye","","Matamey","Arrondissement","Arrondissement"
25104,162,"NER","Niger",8,"Zinder",35,"Mirriah","","Miria|Mirria","Arrondissement","Arrondissement"
25105,162,"NER","Niger",8,"Zinder",36,"Tanout","","","Arrondissement","Arrondissement"
