date,spid,pop,latgps,longps,a,b,c,d
27/10/2011,170,6000,13.042944,3.396083,2,0,2,0
27/10/2011,170,800,13.063436,3.380667,3,0,3,0
27/10/2011,170,465,13.029292,3.329294,2,1,1,0
28/10/2011,169,1500,13.143111,3.234856,3,1,2,0
28/10/2011,169,250,13.206917,3.229806,1,0,1,0
28/10/2011,169,6245,13.155333,3.185583,3,0,3,0
26/10/2011,178,800,12.940314,3.554022,5,0,5,0
27/10/2011,178,1900,12.951247,3.504314,1,0,1,0
27/10/2011,178,300,12.951758,3.560058,2,1,1,0
03/11/2011,187,360,13.912286,3.815253,2,0,2,0
29/10/2011,214,300,13.813514,4.234825,0,0,0,0
29/10/2011,214,750,13.805917,4.192936,1,0,1,0
01/11/2011,212,300,14.297014,4.242619,0,0,0,0
01/11/2011,212,1140,14.319128,4.229558,0,0,0,1
31/10/2011,212,900,14.300708,4.273050,0,0,0,0
31/10/2011,212,700,14.310011,4.254511,0,0,0,0
02/11/2011,206,700,13.916319,3.949450,0,0,0,0
02/11/2011,206,160,13.925908,3.995553,0,0,0,0
02/11/2011,206,1000,13.916961,3.978589,1,0,1,0
31/10/2011,217,300,13.923580,4.418583,0,0,0,0
30/10/2011,217,800,13.931408,4.513900,3,0,3,0
30/10/2011,217,2000,13.860908,4.466694,0,0,0,0
29/10/2011,214,300,13.785675,4.178292,0,0,0,0
29/10/2011,204,700,14.405117,4.158167,0,0,0,1
29/10/2011,204,500,14.406294,4.158128,0,0,0,1
29/10/2011,204,300,14.382155,4.120806,1,1,0,0
25/10/2011,171,1400,12.946833,3.265350,1,0,1,0
26/10/2011,171,2000,12.946053,3.268819,4,0,4,0
26/10/2011,171,500,12.937678,3.273244,2,0,2,0
27/10/2011,179,2067,12.842869,3.426792,6,1,5,1
27/10/2011,179,2000,12.850103,3.398689,6,0,6,0
27/10/2011,179,927,12.815683,3.415953,4,1,3,0
28/10/2011,163,600,13.035703,3.058117,3,0,3,0
28/10/2011,163,1000,13.080183,3.049900,4,0,4,0
28/10/2011,163,1703,13.074850,3.078683,8,0,8,0
30/10/2011,205,1200,14.169383,4.008533,0,0,0,0
30/10/2011,205,300,14.162100,4.011783,1,0,1,0
30/10/2011,205,300,14.017383,4.060217,2,0,2,0
01/11/2011,197,120,14.041767,3.832283,0,0,0,0
01/11/2011,197,860,14.026233,3.849667,0,0,0,0
01/11/2011,197,2000,14.052000,3.834383,1,0,1,1
02/11/2011,186,1600,13.798650,3.565950,0,0,0,0
02/11/2011,186,300,13.793633,3.586117,1,0,1,0
02/11/2011,186,1020,13.785217,3.609900,7,0,7,0
31/10/2011,196,1500,14.249333,3.848967,2,0,2,0
31/10/2011,196,400,14.210567,3.843267,0,0,0,1
31/10/2011,196,1500,14.204083,3.850850,2,0,2,0
03/11/2011,188,420,13.676267,3.654067,0,0,0,0
03/11/2011,188,640,13.646900,3.654950,0,0,0,0
03/11/2011,188,2000,13.630083,3.650217,1,0,1,0
01/11/2011,216,600,13.490050,4.162719,6,0,6,0
01/11/2011,216,2385,13.485517,4.224933,3,0,3,0
31/10/2011,216,1247,13.513961,4.193831,1,0,1,0
29/10/2011,207,2500,13.437961,4.009975,5,2,3,0
30/10/2011,207,1300,13.482636,4.026319,1,0,1,0
29/10/2011,207,500,13.467528,4.015819,4,0,4,0
30/10/2011,215,1300,13.654158,4.359044,1,0,1,0
30/10/2011,215,4000,13.628825,4.362389,11,3,8,0
31/10/2011,215,2300,13.598397,4.350917,8,0,8,0
02/11/2011,198,200,13.681003,3.971636,0,0,0,0
02/11/2011,198,3066,13.668883,3.961508,1,0,1,0
02/11/2011,198,1100,13.724756,3.987569,1,0,1,0
03/11/2011,158,450,12.926086,2.786997,2,0,2,0
03/11/2011,158,1300,12.963744,2.784667,3,0,3,0
03/11/2011,158,316,12.928003,2.856036,2,0,2,0
27/10/2011,191,2777,13.192106,3.604089,4,0,4,0
26/10/2011,177,1200,13.324483,3.473100,8,0,8,0
26/10/2011,177,1200,13.313767,3.359350,7,0,7,0
27/10/2011,177,500,13.329467,3.433300,4,0,4,0
28/10/2011,191,1200,13.201581,3.658175,6,2,4,0
28/10/2011,191,1500,13.186117,3.619022,3,0,3,0
29/10/2011,199,1483,13.291917,3.796142,2,0,2,0
29/10/2011,199,1200,13.312330,3.792922,2,1,1,0
28/10/2011,199,1300,13.357228,3.890039,2,0,2,0
27/10/2011,164,476,12.822028,2.969786,0,0,0,0
26/10/2011,164,1200,12.835822,2.972931,4,0,4,0
26/10/2011,164,2500,12.823178,3.020236,5,3,2,0
29/10/2011,172,894,12.734247,3.261386,10,0,10,0
28/10/2011,172,520,12.703414,3.255494,7,0,7,0
28/10/2011,172,700,12.710536,3.283953,3,0,3,0
28/10/2011,165,1200,12.465444,3.179825,2,0,2,0
27/10/2011,165,1200,12.511122,3.165089,4,0,4,0
27/10/2011,165,791,12.469358,3.114572,7,0,7,0
01/11/2011,200,120,13.072117,3.883675,2,0,2,0
01/11/2011,200,500,13.098792,3.934361,4,1,3,0
01/11/2011,200,2500,13.093344,3.886561,8,0,8,0
01/11/2011,210,750,13.095961,4.091814,2,0,2,0
01/11/2011,210,400,13.088486,4.069703,3,3,0,0
02/11/2011,210,1575,13.054847,4.068408,3,0,3,0
30/10/2011,208,311,13.307139,4.096681,1,0,1,0
30/10/2011,208,1200,13.318183,4.096606,8,0,8,0
29/10/2011,208,3600,13.315028,4.101639,5,0,5,0
03/11/2011,180,1050,12.566889,3.431661,4,0,4,0
03/11/2011,180,677,12.588569,3.406078,1,0,1,0
02/11/2011,180,1615,12.596222,3.463031,8,0,8,0
31/10/2011,209,339,13.186672,3.963719,0,0,0,0
31/10/2011,209,1250,13.198944,3.946578,3,0,3,0
31/10/2011,209,830,13.184203,3.952967,2,0,2,0
03/11/2011,181,400,12.490139,3.583450,1,0,1,0
03/11/2011,181,500,12.453767,3.538517,3,0,3,0
03/11/2011,181,2000,12.433447,3.639428,3,0,3,0
02/11/2011,192,1326,12.706697,3.647661,4,0,4,0
02/11/2011,192,557,12.718442,3.629181,0,0,0,0
02/11/2011,192,900,12.703303,3.606253,3,0,3,0
30/10/2011,211,3500,12.971606,3.979000,15,10,5,2
30/10/2011,211,260,12.963419,3.947025,2,1,1,0
30/10/2011,211,1000,12.936405,3.956475,3,0,3,0
01/11/2011,203,1300,12.685067,3.757967,5,1,4,0
01/11/2011,203,200,12.677239,3.771686,0,0,0,0
01/11/2011,203,600,12.680433,3.783494,3,0,3,0
31/10/2011,201,366,12.840214,3.848478,4,1,3,0
31/10/2011,201,500,12.835764,3.817836,3,0,3,0
01/11/2011,201,1500,12.825092,3.806456,2,0,2,0
31/10/2011,202,2000,12.836106,3.968564,8,0,8,0
31/10/2011,202,266,12.857364,3.989914,2,0,2,0
31/10/2011,202,2500,12.824342,3.944333,7,0,7,0
26/10/2011,166,2867,12.265283,3.042200,8,0,8,0
26/10/2011,166,1500,12.251039,3.061053,6,0,6,0
27/10/2011,166,1500,12.234919,3.065794,6,1,5,0
27/10/2011,173,300,12.251983,3.175586,3,0,3,0
27/11/2011,173,500,12.219439,3.193686,1,0,1,0
28/10/2011,173,350,12.239581,3.224258,1,0,1,0
28/10/2011,174,1500,12.083447,3.229964,3,0,3,0
28/10/2011,174,500,12.115111,3.227606,5,0,5,0
29/10/2011,174,300,12.114994,3.246189,1,0,1,0
11/11/2011,193,150,12.326197,3.577986,1,0,1,0
11/11/2011,193,200,12.300997,3.630783,1,0,1,0
11/11/2011,193,481,12.340278,3.628356,3,0,3,0
15/11/2011,156,500,13.283411,2.932050,1,1,0,0
15/11/2011,156,1000,13.279967,2.911181,12,1,11,0
